nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_06_21,02_06_21,03_06_21,04_06_21,05_06_21,06_06_21,07_06_21,08_06_21,09_06_21,10_06_21,11_06_21,12_06_21,13_06_21,14_06_21,15_06_21,16_06_21,total
Iaçu,PG-CL-05,Iaçu,Iaçu - PG-CL-05,-12.911,-40.032,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,1.4,1.4,1.0,2.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,6.61
Marcionílio Souza,PG-CL-03,Marcionílio Souza,Marcionílio Souza - PG-CL-03,-13.0,-40.538,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,1.2,0.4,5.0,1.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,8.4
Baixa Grande,PG-PR-08,Baixa Grande,Baixa Grande - PG-PR-08,-11.909,-40.184,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.2,0.4,0.8,1.2,1.4,1.8,3.0,0.0,1.8,0.2,0.0,0.0,0.4,0.0,0.0,11.21
Ventura),PG-PR-10,Morro do Chapéu,Morro do Chapéu (Ventura) - PG-PR-10,-11.651,-40.952,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.2,5.0,2.4,2.4,1.6,0.2,4.2,0.6,0.0,0.0,0.4,0.2,0.0,17.2
Centro),291900901A,Lajedinho,Lajedinho (Centro) - 291900901A,-12.356,-40.902,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,1.6,0.0,7.6,0.4,1.8,1.0,0.2,1.8,0.8,0.0,0.0,0.0,0.0,0.0,15.21
PC Ponte Rio Capivari),51326200,Itaberaba,Itaberaba (PC Ponte Rio Capivari) - 51326200,-12.514,-39.934,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.2,0.2,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2
Santo Antônio/Porto),PG-FR-02,Lençóis,Lençóis (Santo Antônio/Porto) - PG-FR-02,-12.493,-41.33,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,1.0,0.0,0.0,20.2,0.8,6.0,0.6,0.0,0.6,3.6,0.0,0.0,0.2,0.0,0.0,33.01
Usina Mucugê),PG-FR-20,Mucugê,Mucugê (Usina Mucugê) - PG-FR-20,-13.009,-41.371,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,6.6,0.2,4.0,2.2,0.0,6.8,0.6,0.0,0.0,0.0,0.0,0.0,20.41
Itaberaba,291470301C,Itaberaba,Itaberaba - 291470301C,-12.458,-40.202,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.2,0.0,0.0,6.2,3.0,9.0,0.2,0.0,6.6,0.0,0.0,0.0,0.2,0.0,0.0,25.4
Barro Alto,290323501C,Barro Alto,Barro Alto - 290323501C,-11.812,-41.901,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
Ibicoara,291220201C,Ibicoara,Ibicoara - 291220201C,-13.446,-41.298,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.0,0.0,21.4,1.8,9.2,0.2,0.0,2.6,0.2,0.0,0.0,0.2,0.0,0.2,35.81
Chorrochó,290770701C,Chorrochó,Chorrochó - 290770701C,-8.984,-39.118,Nordeste,RPGA dos Rios Macururé e Curaçá,0.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
Cipó,83192,Cipó,Cipó - 83192,-11.083,-38.517,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,1.4,1.0,5.7,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,15.4
Monte Santo,292150001U,Monte Santo,Monte Santo - 292150001U,-10.51,-39.24,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,3.4,0.0,5.8,2.8,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.8,0.8,0.2,15.21
Jacobina,83186,Jacobina,Jacobina - 83186,-11.173,-40.534,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.4,0.5,11.8,1.4,1.0,0.3,0.0,0.0,0.0,0.0,0.0,3.2,1.6,0.3,20.51
Ladeira Vermelha),291750801A,Jacobina,Jacobina (Ladeira Vermelha) - 291750801A,-11.162,-40.554,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.6,7.2,0.8,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1.2,0.8,0.2,12.0
Feliz Tomaz),291750802A,Jacobina,Jacobina (Feliz Tomaz) - 291750802A,-11.174,-40.518,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.6,1.2,11.6,2.4,1.8,0.8,0.2,0.0,0.0,0.0,0.0,2.8,1.4,0.4,23.2
Senhor do Bonfim,A428,Senhor do Bonfim,Senhor do Bonfim - A428,-10.443,-40.148,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,1.6,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,14.2
Pedras Altas),50430000,Capim Grosso,Capim Grosso (Pedras Altas) - 50430000,-11.183,-40.047,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.2,1.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.8,0.2,4.4
Ponto Novo,50380000,Ponto Novo,Ponto Novo - 50380000,-10.845,-40.113,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,3.4,0.2,3.2,0.0,0.0,0.0,2.4,0.2,0.0,0.2,3.6,0.0,13.2
Capim Grosso,IT-CL-03,Capim Grosso,Capim Grosso - IT-CL-03,-11.368,-40.034,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.2,0.2,4.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,7.81
